n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
10,,2,0.9960861056751468,0.953125
10,30.0,2,0.9960861056751468,0.953125
10,20.0,2,0.9960861056751468,0.953125
10,10.0,2,0.9960861056751468,0.9453125
10,20.0,10,0.9726027397260274,0.9296875
10,,5,0.9882583170254403,0.9296875
10,30.0,5,0.9882583170254403,0.9296875
10,30.0,10,0.9726027397260274,0.9296875
10,20.0,5,0.9882583170254403,0.9296875
10,10.0,10,0.9726027397260274,0.9296875
10,10.0,5,0.9902152641878669,0.9296875
10,,10,0.9726027397260274,0.9296875
100,,2,1.0,0.921875
100,30.0,5,1.0,0.921875
100,30.0,2,1.0,0.921875
100,20.0,10,0.9804305283757339,0.921875
100,20.0,5,1.0,0.921875
100,20.0,2,1.0,0.921875
100,10.0,10,0.9765166340508806,0.921875
100,10.0,5,1.0,0.921875
100,10.0,2,1.0,0.921875
100,,10,0.9804305283757339,0.921875
100,,5,1.0,0.921875
50,20.0,2,1.0,0.921875
50,30.0,10,0.9784735812133072,0.921875
50,30.0,5,0.9960861056751468,0.921875
50,30.0,2,1.0,0.921875
50,20.0,10,0.9784735812133072,0.921875
50,20.0,5,0.9960861056751468,0.921875
50,10.0,10,0.9784735812133072,0.921875
50,10.0,5,1.0,0.921875
50,10.0,2,1.0,0.921875
50,,10,0.9784735812133072,0.921875
50,,5,0.9960861056751468,0.921875
50,,2,1.0,0.921875
100,30.0,10,0.9804305283757339,0.921875
