band_width,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
100,100,40.0,10,0.9874476987447699,0.95
100,100,30.0,10,0.9874476987447699,0.95
100,100,20.0,10,0.9874476987447699,0.95
100,100,10.0,10,0.9874476987447699,0.95
100,100,,10,0.9874476987447699,0.95
100,80,10.0,10,0.9832635983263598,0.95
100,80,20.0,10,0.9874476987447699,0.9416666666666667
100,30,10.0,2,0.997907949790795,0.9416666666666667
100,60,30.0,10,0.9832635983263598,0.9416666666666667
100,60,20.0,10,0.9832635983263598,0.9416666666666667
100,60,10.0,10,0.9832635983263598,0.9416666666666667
100,60,,10,0.9832635983263598,0.9416666666666667
100,40,10.0,2,1.0,0.9416666666666667
100,80,,10,0.9874476987447699,0.9416666666666667
100,60,40.0,10,0.9832635983263598,0.9416666666666667
100,10,10.0,5,0.9874476987447699,0.9416666666666667
100,80,40.0,10,0.9874476987447699,0.9416666666666667
100,90,,10,0.9874476987447699,0.9416666666666667
100,90,10.0,10,0.9853556485355649,0.9416666666666667
100,90,40.0,10,0.9874476987447699,0.9416666666666667
100,90,20.0,10,0.9874476987447699,0.9416666666666667
100,80,30.0,10,0.9874476987447699,0.9416666666666667
100,90,30.0,10,0.9874476987447699,0.9416666666666667
100,50,30.0,2,1.0,0.9333333333333333
100,60,30.0,2,1.0,0.9333333333333333
100,60,40.0,5,0.997907949790795,0.9333333333333333
100,60,40.0,2,1.0,0.9333333333333333
100,60,30.0,5,0.997907949790795,0.9333333333333333
100,60,20.0,2,1.0,0.9333333333333333
100,60,20.0,5,0.997907949790795,0.9333333333333333
100,60,10.0,5,0.997907949790795,0.9333333333333333
100,60,,5,0.997907949790795,0.9333333333333333
100,50,20.0,2,1.0,0.9333333333333333
100,70,,2,1.0,0.9333333333333333
100,50,40.0,2,1.0,0.9333333333333333
100,70,20.0,10,0.9832635983263598,0.9333333333333333
100,70,,5,0.997907949790795,0.9333333333333333
100,70,,10,0.9832635983263598,0.9333333333333333
100,80,40.0,2,1.0,0.9333333333333333
100,80,30.0,2,1.0,0.9333333333333333
100,80,20.0,2,1.0,0.9333333333333333
100,80,,2,1.0,0.9333333333333333
100,70,40.0,10,0.9832635983263598,0.9333333333333333
100,70,40.0,5,0.997907949790795,0.9333333333333333
100,70,40.0,2,1.0,0.9333333333333333
100,70,30.0,10,0.9832635983263598,0.9333333333333333
100,70,30.0,5,0.997907949790795,0.9333333333333333
100,70,30.0,2,1.0,0.9333333333333333
100,40,40.0,2,1.0,0.9333333333333333
