band_width,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
10,70,30.0,2,1.0,0.6666666666666666
10,70,40.0,2,1.0,0.6666666666666666
10,70,,2,1.0,0.6666666666666666
10,70,20.0,2,1.0,0.6666666666666666
10,80,30.0,2,1.0,0.6583333333333333
10,40,40.0,2,1.0,0.6583333333333333
10,80,,2,1.0,0.6583333333333333
10,40,30.0,2,1.0,0.6583333333333333
10,80,20.0,2,1.0,0.6583333333333333
10,40,,2,1.0,0.6583333333333333
10,80,40.0,2,1.0,0.6583333333333333
10,40,20.0,2,1.0,0.6583333333333333
10,60,,2,1.0,0.65
10,60,40.0,2,1.0,0.65
10,60,30.0,2,1.0,0.65
10,60,20.0,2,1.0,0.65
10,30,10.0,2,1.0,0.6416666666666667
10,20,,2,1.0,0.6416666666666667
10,20,20.0,2,1.0,0.6416666666666667
10,20,40.0,2,1.0,0.6416666666666667
10,20,30.0,2,1.0,0.6416666666666667
10,90,20.0,2,1.0,0.6333333333333333
10,50,40.0,2,1.0,0.6333333333333333
10,20,40.0,5,0.9937238493723849,0.6333333333333333
10,90,,2,1.0,0.6333333333333333
10,20,10.0,5,0.9853556485355649,0.6333333333333333
10,20,30.0,5,0.9937238493723849,0.6333333333333333
10,20,20.0,5,0.9937238493723849,0.6333333333333333
10,90,30.0,2,1.0,0.6333333333333333
10,20,,5,0.9937238493723849,0.6333333333333333
10,50,,2,1.0,0.6333333333333333
10,90,40.0,2,1.0,0.6333333333333333
10,100,10.0,2,1.0,0.6333333333333333
10,50,20.0,2,1.0,0.6333333333333333
10,50,30.0,2,1.0,0.6333333333333333
10,30,30.0,2,1.0,0.625
10,70,10.0,10,0.9811715481171548,0.625
10,70,10.0,2,1.0,0.625
10,30,40.0,2,1.0,0.625
10,30,20.0,2,1.0,0.625
10,100,40.0,2,1.0,0.625
10,100,30.0,2,1.0,0.625
10,100,20.0,2,1.0,0.625
10,100,,2,1.0,0.625
10,30,10.0,5,0.9895397489539749,0.625
10,30,,2,1.0,0.625
10,90,,5,1.0,0.6166666666666667
10,80,10.0,10,0.9853556485355649,0.6166666666666667
10,90,40.0,5,1.0,0.6166666666666667
10,90,30.0,5,1.0,0.6166666666666667
